#{"t_start": 1680618620.619981, "env_id": null}
r,l,t
-0.003138,913,17.011386
0.648126,1064,29.396698
0.416699,1304,44.833403
0.482453,1787,66.036718
0.326357,1992,90.674037
-0.343,593,97.190704
0.243053,1662,117.164116
0.259453,1401,134.178301
0.119519,1162,148.107784
0.502122,1730,169.418167
0.307404,1855,191.003949
0.53041,1458,209.410433
0.198866,1375,224.99976
0.045437,1224,240.126973
0.086302,1177,253.947363
0.107926,1248,269.635406
0.513329,1634,289.146483
0.288098,1662,309.313333
0.500231,1779,330.805471
0.229384,1125,343.607801
0.347908,2143,369.634246
0.344908,1598,389.272933
0.472633,1725,409.130322
0.221936,1492,427.259561
0.614719,1146,440.92105
0.264053,1371,456.71724
0.568735,1425,474.769718
0.048518,1338,490.571326
0.47202,1731,511.869364
0.058959,999,523.15196
0.465485,1361,539.910224
0.315495,1823,561.421916
0.516789,1535,579.653148
0.24658,1419,596.392812
0.230053,1793,617.925869
0.578644,1271,633.526758
0.352908,1620,653.654695
0.249053,1443,670.978104
0.536637,1464,689.412276
-0.083675,1273,705.024469
0.17623,1317,720.665153
0.571336,1428,737.643009
0.166124,1542,756.345813
0.206816,1561,775.13029
0.331699,1559,793.554417
0.536679,1284,809.2164
0.297153,1709,830.770033
-0.10233,1070,843.525336
0.084668,1322,859.325171
0.052437,1423,877.450824
0.269527,1624,896.295343
0.157515,1361,912.910262
0.249053,1509,930.818879
0.166277,1038,942.946214
0.103921,1766,964.720623
-0.003771,809,974.0159
0.2803,1627,994.39034
0.544268,1108,1007.623528
0.050994,1438,1026.007038
0.319773,2056,1051.198081
-0.224029,888,1061.937224
-0.126312,955,1073.266069
0.301908,1332,1088.730206
0.032136,864,1099.18925
0.467103,1760,1120.30682
0.546675,1232,1135.507115
0.568963,1485,1152.835846
-0.086274,988,1165.281517
0.527565,1562,1184.286759
0.729845,991,1196.745569
0.459241,1653,1217.088015
0.529103,1516,1235.532365
0.114519,1178,1249.652671
-0.346,757,1258.695639
0.177322,1070,1271.154581
0.218936,1369,1288.140747
0.314404,1923,1311.619899
-0.046298,956,1322.848341
0.085314,1042,1335.186141
0.477402,1190,1350.183369
0.161701,2230,1376.945275
0.137314,1728,1399.094372
0.574147,1229,1413.718154
0.49023,1475,1432.15213
0.109028,1407,1449.092113
0.049994,1337,1464.854292
-0.006623,871,1475.50368
0.161322,1277,1490.952338
0.132807,1255,1506.241877
0.26222,1561,1524.889096
-0.11233,771,1534.367698
0.328699,1815,1557.259264
0.142043,1352,1575.241306
0.260527,1369,1592.101718
0.330699,2036,1615.786397
-0.100345,851,1625.914059
0.289984,1624,1644.774063
0.167921,1125,1657.256926
0.08187,1524,1674.594288
0.169711,1068,1687.322648
0.052484,1247,1700.92785
0.013862,1390,1717.801319
-0.216034,727,1726.317602
0.315404,1765,1746.794905
0.59562,751,1755.599296
0.085668,1253,1769.452978
0.05649,770,1778.447351
0.268734,1233,1793.077449
0.196157,1878,1814.846016
-0.172979,1054,1826.853369
-0.309,639,1834.087948
0.039881,1036,1845.661749
0.167863,1087,1857.574813
0.250138,2005,1880.696752
0.03932,799,1889.71448
0.228589,1592,1908.761521
0.105368,1555,1926.516813
0.555472,1354,1942.786833
0.345737,1605,1960.686196
0.785401,675,1968.207456
-0.181892,683,1976.934675
0.164701,1375,1992.175069
0.326699,1305,2009.828563
0.510204,1414,2027.894854
0.558637,1528,2046.736211
0.211816,1314,2061.321317
0.176711,1088,2073.08454
0.258378,1503,2090.220293
0.351843,2129,2114.417683
-0.139268,574,2120.417725
0.205297,1445,2137.492543
0.527154,1600,2154.977287
0.252783,1241,2168.831939
0.581038,1350,2183.274232
-0.029406,1092,2195.9605
0.201297,1858,2216.041642
0.178883,1526,2233.049304
0.613595,1029,2244.559019
0.044737,1118,2257.264391
-0.091118,705,2265.690464
0.505337,1506,2281.832453
0.571569,1141,2294.542168
0.505282,1280,2308.91821
0.492875,1972,2331.467008
-0.108,1043,2342.923895
0.232167,1248,2357.069834
0.088926,981,2367.47994
0.386869,1551,2384.826384
0.337773,1692,2404.118008
0.2673,2140,2427.246221
-0.040531,859,2437.190084
0.331737,1851,2457.661882
0.540762,1586,2476.014422
0.504815,1804,2496.274344
0.625189,757,2504.762538
0.507512,1554,2522.007929
0.198564,1091,2533.668365
0.141564,1789,2553.461828
0.444332,1293,2568.586301
0.491972,1205,2581.460799
0.66555,1147,2594.34562
0.544368,1522,2611.351077
0.551709,1503,2628.374781
0.67796,887,2637.356867
0.535995,1302,2652.664012
0.099028,1384,2667.465698
0.41688,1526,2684.401407
0.157515,1147,2697.111793
0.295042,1600,2715.237844
0.487719,1511,2732.30477
0.06249,1063,2743.937929
0.499956,970,2755.004472
0.189157,1177,2767.891569
0.222816,870,2777.892261
0.502995,1302,2792.166411
0.710478,894,2802.263457
0.181863,1037,2813.963376
0.265598,1392,2829.484369
-0.018771,1288,2843.854412
-0.06185,1028,2855.293996
0.223258,1612,2872.945554
0.218432,1921,2894.436141
0.667428,1046,2906.760833
0.044971,1058,2918.287471
0.2683,1492,2934.135887
0.116519,1271,2948.317723
0.693774,936,2959.458843
0.548742,1410,2974.940431
0.700088,704,2982.340492
0.368737,1905,3003.811409
0.423997,1637,3022.44822
0.337773,1403,3038.328462
0.316538,2205,3062.625121
0.087668,827,3072.350482
0.10465,1234,3085.587041
0.030225,873,3095.426213
0.298734,1575,3112.686375
0.691879,916,3122.71462
0.239876,1282,3136.939532
0.003643,1346,3152.489096
0.182396,1579,3170.048896
0.356876,1467,3187.015773
0.635688,1403,3203.7974
0.238783,1636,3222.764239
0.444339,1885,3243.54049
0.059484,857,3253.728659
0.271734,1253,3268.196766
0.143272,1023,3279.972475
0.02355,1517,3297.724813
0.35094,1947,3320.804591
0.217936,1198,3334.915847
0.442147,1407,3351.947086
0.434518,1883,3374.916142
0.235876,1628,3394.919178
0.466787,1648,3413.632701
0.522531,1588,3433.435621
0.342876,2019,3458.06393
0.529023,1461,3475.244587
0.256453,1666,3495.291964
-0.067274,818,3504.670756
0.281984,1305,3521.423678
0.527311,1125,3534.261922
0.482229,1287,3548.992001
0.278863,1844,3570.360635
0.114948,1102,3583.354341
0.292153,1783,3602.49295
0.440637,1528,3619.673842
0.221866,1052,3632.112554
0.399897,1647,3649.882127
0.35897,1562,3668.091906
0.364843,1456,3683.999087
0.440318,1863,3705.172496
0.072887,985,3715.730609
0.325661,1799,3736.097757
-0.080913,1118,3748.983667
-0.142121,952,3760.358678
-0.344,810,3769.231796
0.591329,1209,3782.294888
0.129057,1187,3796.496624
0.091302,1335,3811.140804
0.247688,1272,3825.383822
0.234816,1159,3838.310678
0.340773,1685,3857.040086
0.055136,1089,3869.842533
0.178396,1129,3881.684038
0.58038,1466,3898.603474
0.436725,1938,3920.12465
0.504806,1577,3937.476025
0.145711,1425,3954.161308
0.530071,1430,3969.850402
0.053971,802,3978.58635
0.511156,1574,3995.62598
0.448207,1491,4012.700203
0.378843,1434,4028.310417
0.517865,1868,4049.528543
0.210936,1613,4066.916794
-0.035295,973,4078.202819
0.306984,1764,4098.363976
0.36594,1812,4119.314441
0.163515,1436,4135.275556
0.055484,1051,4147.150754
-0.050345,1083,4160.139952
0.365,1586,4177.718358
-0.019295,1029,4189.465154
0.153948,1260,4204.064518
0.525871,1116,4216.92088
0.249965,1717,4236.166852
0.203564,1796,4256.579097
0.353621,1470,4273.922145
0.082926,1076,4285.752848
0.187714,1567,4303.318704
0.055959,1343,4318.769488
0.275863,1701,4337.450799
0.274843,1382,4353.242364
0.269876,1283,4367.551332
0.299308,1821,4387.55686
0.651793,931,4397.710257
0.323538,1266,4412.136186
0.468473,1412,4428.118958
0.368013,1683,4447.065249
0.437362,1172,4460.980281
0.06849,975,4471.365567
0.2823,1452,4488.12189
-0.32,656,4495.388462
0.578321,1341,4510.05491
0.245589,1503,4527.138385
0.037737,928,4537.281479
0.017225,1302,4551.656803
0.191866,1202,4565.703463
0.078926,1286,4580.159435
0.142314,1219,4593.545879
-0.151268,823,4603.446597
0.501868,1470,4619.685608
0.544189,1356,4635.356193
0.298527,1172,4648.88279
0.529644,1318,4663.341934
-0.120623,612,4670.390572
0.282598,1762,4690.213776
0.741933,590,4696.251478
0.101728,1261,4710.529812
0.01955,1075,4723.318745
0.333357,1686,4741.799326
0.007402,937,4751.914416
0.478988,1550,4769.039683
0.245138,1321,4784.476811
0.31958,1573,4802.051136
0.480169,1042,4813.793997
0.050994,1131,4826.602163
0.558368,1215,4839.773037
0.06887,1030,4851.244153
0.49022,1031,4862.811507
0.327661,1848,4884.098237
0.573874,1049,4895.676389
0.24822,1882,4917.113791
0.602191,1328,4931.921028
0.592875,1082,4944.596759
0.340843,1568,4962.246087
0.113703,1408,4978.125731
0.363908,1998,5000.108081
0.373908,1629,5018.821387
0.542894,1337,5034.508061
-0.17435,669,5041.895613
0.461213,2082,5065.039278
0.53156,1382,5080.99996
0.51835,1652,5099.531381
-0.118719,859,5109.554208
0.083302,1117,5121.283228
0.256378,1447,5138.209496
0.43744,2027,5160.361477
0.290153,1405,5176.256321
0.259527,2481,5204.852788
-0.004771,821,5213.982476
0.103344,1438,5229.991593
0.093023,1373,5245.837246
0.077926,1347,5261.545786
0.55133,1355,5276.198786
0.430685,2130,5300.772758
0.356737,1377,5316.539918
0.107344,903,5326.949245
0.695344,948,5337.187701
0.305404,2345,5363.741716
0.543926,1602,5382.585435
0.282667,1601,5400.369112
0.108139,1398,5416.174699
0.340773,1671,5435.2298
0.335773,1363,5450.838222
0.243053,1354,5466.45341
0.441937,1224,5479.775322
0.314737,1633,5498.401374
0.216167,1026,5510.181998
0.611874,1151,5523.338164
0.443907,1684,5542.553869
-0.05806,645,5549.735928
0.633146,1005,5561.370239
0.305863,1760,5581.76715
0.553094,1566,5599.168684
0.511469,1333,5613.749112
0.612099,809,5623.554852
0.345908,1412,5639.569018
0.088728,1027,5651.427177
0.533512,1554,5668.944499
0.486131,1609,5687.957154
0.535924,1365,5703.03827
0.575624,1089,5716.103305
0.565109,1308,5730.945572
0.29522,1275,5745.554399
0.116302,936,5755.986764
0.138792,877,5766.168686
0.303042,1316,5780.898937
