#{"t_start": 1680618620.7559795, "env_id": null}
r,l,t
0.101344,1336,21.701143
0.288098,1670,41.560176
0.582347,1025,53.887788
0.199322,1204,67.573297
0.231053,1288,83.050873
-0.022623,1143,97.105707
0.116519,1211,112.189789
-0.292704,597,119.713484
0.202564,1483,137.043998
0.241965,1494,155.274239
0.594748,966,166.484429
0.500182,2137,192.253952
0.021402,1015,204.696767
0.004643,1122,218.383931
-0.078913,863,227.820405
-0.171979,708,236.938189
0.505637,1528,255.248851
-0.008942,1066,268.116239
0.170883,1684,287.840542
0.494226,1515,306.336075
0.244876,1452,324.535916
0.338808,2417,352.715197
0.04849,1578,372.349474
0.303258,1916,395.259233
0.414051,2337,422.707302
0.199564,1572,441.099055
0.217053,1997,465.652141
0.726542,962,476.622555
0.328699,1853,499.611778
-0.036298,1014,511.91037
0.25522,1713,532.268687
0.027737,841,542.771777
0.539234,1875,564.46573
0.326699,1264,579.571259
-0.209113,738,588.552907
0.302206,1579,607.135081
0.222053,1882,630.27001
0.135043,1284,645.851338
0.509457,1580,664.71539
0.275,1123,678.741903
0.197564,1359,695.718101
0.026737,1311,711.445623
0.070305,1661,731.385382
-0.057674,947,742.456552
0.32458,1775,764.102811
0.067421,1483,782.487555
0.488119,1682,802.71387
0.50692,1824,824.506702
-0.078591,886,835.643421
0.295206,1835,858.735941
0.617766,1359,874.602314
0.152124,1621,894.466439
0.274378,1535,912.754265
0.215167,1260,927.690207
0.197322,1312,942.890217
0.218816,1468,960.523606
0.466566,1614,980.106732
-0.002357,1514,999.218784
0.495612,1472,1017.139607
0.223692,1297,1032.869015
0.369843,1557,1052.670232
0.006229,807,1062.053402
0.194396,975,1074.465379
0.082302,1179,1088.297122
0.514471,1606,1106.745165
0.344843,1539,1125.019202
0.252138,1036,1137.530376
0.31545,1991,1162.074383
0.102023,1035,1174.907189
0.475404,1306,1190.551273
0.068305,1182,1205.782408
0.670598,982,1217.219015
0.522936,1316,1232.836013
0.35,1845,1255.676492
-0.224288,755,1264.754092
0.281799,1739,1285.170049
0.414885,1439,1303.659776
-0.031282,993,1314.962579
-0.149111,1200,1330.095295
0.337699,1226,1344.195955
-0.298452,859,1354.832094
0.518726,1595,1374.92053
-0.15944,773,1384.33866
0.470204,1097,1397.530542
0.112028,1402,1415.074754
0.102023,1216,1430.431904
0.331661,1820,1452.137653
0.429219,1626,1471.085014
0.359908,1581,1490.788342
0.099703,1239,1506.00088
0.20823,1036,1518.28888
0.32858,1667,1538.928311
0.268053,946,1550.466736
0.302357,1781,1573.613685
-0.004138,775,1583.516972
0.523939,1782,1605.276134
0.174059,1480,1621.685058
0.435401,1990,1644.877066
0.155238,1063,1657.093928
-0.076913,1112,1669.968638
0.136314,1340,1684.830727
0.666268,1091,1697.72033
-0.210034,732,1706.882995
-0.048422,1377,1722.121522
0.390011,1702,1742.241631
-0.101603,1482,1758.912215
0.17223,1122,1772.242175
-0.16735,1286,1787.19215
0.17523,1129,1800.244227
0.397201,1749,1820.690172
0.052994,1020,1832.340652
-0.348,989,1842.852174
0.143711,1509,1860.147847
0.446257,2208,1885.100432
0.278527,1563,1903.992293
0.583447,1450,1920.454043
0.480661,1715,1939.977752
0.018855,916,1950.320514
0.571291,1300,1966.202107
0.121792,1227,1980.102934
0.658352,968,1991.721072
0.121792,1361,2008.474682
0.235876,1842,2032.848212
0.345773,1505,2050.73991
0.463878,1585,2068.423831
0.324661,1862,2089.753708
0.56686,1169,2102.613985
0.584887,1638,2120.360726
-0.044029,732,2128.950811
0.384876,1445,2144.943497
0.084305,1450,2161.731131
0.429231,1779,2181.341581
-0.077675,991,2191.92349
0.481224,1729,2211.472919
0.33358,1786,2231.255699
0.585478,1259,2245.552022
0.162883,1319,2260.06153
0.152921,1616,2278.550414
0.131564,1148,2291.286148
-0.010337,726,2298.769477
