#{"t_start": 1680618620.6389818, "env_id": null}
r,l,t
0.483231,1779,26.616413
-0.352,863,37.145637
0.283984,1446,54.251784
0.06387,1088,67.476416
0.442745,1695,87.802513
0.548995,1302,103.30443
0.31958,1506,121.683367
0.091023,1585,140.422091
0.502515,1529,158.872559
0.195157,1525,177.379935
0.088302,1036,189.542314
0.440094,2097,215.513017
0.216396,1426,232.348036
0.105668,1348,248.908447
0.024518,986,260.253842
0.347538,1380,277.162457
0.407114,1770,298.356868
0.065124,1340,314.176596
0.198432,1338,330.876468
0.326538,2444,360.205755
0.183714,1098,372.770521
0.552352,968,384.921225
0.614145,964,396.697431
0.223297,1365,412.152018
0.539329,1564,430.562729
0.345908,1728,451.720291
0.219277,1738,472.182941
0.542225,1582,491.971498
-0.052531,926,502.995867
0.445569,1141,516.68469
0.171059,1280,532.268682
0.013225,958,543.232854
-0.352,578,550.651236
-0.347,649,558.405199
0.137792,851,568.771359
0.204816,2228,594.779283
-0.089708,1171,608.687278
0.457508,1465,627.081726
-0.222029,606,633.613755
0.267453,1867,656.778402
0.398751,2186,683.464423
0.003538,998,695.847098
0.209692,1182,710.033447
0.35294,1553,728.516254
-0.16635,603,736.03452
0.594668,1311,751.804066
0.447124,1969,776.323594
0.04849,1224,790.244131
0.38097,2211,816.89815
0.075538,1104,830.897033
-0.050345,919,842.025094
-0.343,601,849.735727
-0.075274,1500,868.302166
0.615637,1528,886.825751
0.24922,1478,903.723616
0.121519,1308,919.222058
0.345908,1629,938.602727
0.057484,1021,950.923841
0.246053,1640,970.914768
0.345621,1690,991.41205
0.003139,1345,1008.81681
0.251053,1662,1029.281272
0.020518,1159,1043.475752
0.272667,1536,1061.978224
0.546796,1270,1077.586787
0.123792,1355,1093.230896
0.109948,1282,1108.319621
0.105028,1190,1122.001725
0.268667,1882,1145.171866
0.159921,1951,1168.768396
0.646501,913,1180.830746
0.170692,1602,1199.954406
0.34994,2034,1224.878404
-0.075861,1552,1243.536804
0.063421,1594,1262.121866
0.077807,1327,1278.76532
-0.041531,1051,1291.492567
0.227488,1281,1307.113888
0.073994,1129,1321.122097
0.547892,1344,1336.729844
