#{"t_start": 1680618620.5349822, "env_id": null}
r,l,t
0.175557,1694,26.36644
0.297453,1369,42.001171
0.316258,1349,58.591356
-0.170979,551,64.691608
0.285042,2022,89.397835
0.260378,1503,107.777022
0.327621,2248,134.342297
0.049971,1636,154.193691
-0.338,722,163.37777
0.32358,1678,183.294785
0.469401,1670,203.313653
0.048136,864,214.0148
0.447798,1455,230.978593
0.244277,1188,244.869213
-0.234288,740,254.000359
0.296153,1443,271.444621
0.121057,1170,286.05505
-0.009942,1274,300.347498
0.2613,1472,318.778883
0.317495,1748,340.185676
0.326699,1736,360.501755
0.608096,1223,375.595313
0.023881,1224,389.735857
0.302357,1134,403.209213
-0.013502,859,413.638698
-0.003771,709,421.642036
0.214053,1559,440.962049
0.239167,1053,453.375899
0.222053,1276,468.919704
0.491652,992,480.978358
0.649052,920,492.035498
-0.021502,1106,504.816763
0.200453,950,516.712689
0.463972,1674,536.901105
-0.044298,1047,549.271691
-0.035422,818,558.745198
0.300258,1840,581.078904
0.319538,1544,599.347467
0.522776,1395,616.199559
0.491601,1755,637.816793
0.16923,1275,652.479726
-0.339,657,661.302035
0.57078,1290,677.027712
0.109344,974,688.32304
0.257589,1771,710.142448
0.298258,1557,728.640277
0.461099,1445,746.890524
0.180714,1616,765.837248
0.11065,921,776.889595
0.228488,1574,796.39212
0.293206,2062,821.380586
0.046971,1389,838.711424
0.053519,1254,853.282397
0.225866,1361,870.16437
0.475065,1791,891.784577
0.496056,1186,905.485129
0.518465,1347,922.047951
0.039437,1258,936.985906
0.432745,1695,957.366476
0.335699,1596,975.894452
0.032887,1525,994.848077
0.53634,953,1007.43495
-0.133312,802,1017.196602
-0.034337,1330,1033.05701
0.183921,1446,1051.375265
0.028737,1181,1065.463056
0.040887,1575,1084.176345
0.479735,1724,1105.099921
0.172059,1033,1117.39676
0.124314,1440,1134.371906
0.100714,1218,1149.526981
0.234277,1711,1170.180137
-0.036295,1138,1184.258761
0.03155,1438,1201.610575
0.164701,1590,1220.618049
0.432393,1555,1240.277837
0.536552,1404,1257.231191
0.483204,1414,1274.08168
0.57104,990,1285.386045
0.326661,1785,1307.336887
0.06549,1007,1319.882915
0.343843,1468,1337.97112
0.248053,1252,1352.204933
0.087668,1002,1364.593586
0.219816,1289,1380.274341
0.242589,1259,1396.035966
0.482868,1713,1418.177613
0.337621,2126,1443.281836
0.268667,1316,1458.889297
0.433817,2276,1486.579544
0.332098,1543,1505.131691
0.274734,1167,1518.92915
0.125053,1339,1535.974616
0.101368,1144,1550.556735
0.061437,1608,1570.741634
0.118238,1089,1585.305697
0.360843,1716,1605.706502
0.337699,1928,1627.63124
0.128277,1154,1640.786158
0.194157,1866,1662.864744
0.300308,1997,1685.972941
0.326098,1862,1707.278988
0.636146,1103,1720.53155
-0.347,595,1726.632068
0.181714,1429,1743.764102
0.444632,2344,1770.811991
0.300258,1141,1784.098058
0.178714,1327,1799.044747
0.003368,928,1809.444721
0.517836,1486,1826.960614
0.455779,1225,1841.166777
-0.332,769,1849.872639
0.512481,1292,1864.532353
0.540794,1128,1876.500257
0.258488,1012,1888.252762
0.303598,1672,1907.596181
0.223053,1287,1922.413469
0.670465,918,1933.83377
0.072959,1235,1947.624959
0.187014,1118,1960.727214
0.085926,1021,1972.587279
0.150057,1146,1986.131281
0.009728,875,1996.565743
0.302527,1030,2010.020566
0.213053,1128,2024.718174
0.312924,1682,2045.451381
0.193014,947,2055.757803
0.575344,963,2067.128321
0.555002,1525,2084.293831
0.324621,1579,2101.63007
0.128519,921,2111.887091
0.274453,1156,2124.838457
0.36994,1843,2146.109775
0.344808,1617,2163.565612
0.341843,1458,2180.11848
-0.074307,1340,2194.751863
0.514612,1472,2211.486664
-0.034422,1117,2223.175213
0.228589,1235,2237.243429
0.381803,1704,2256.084846
0.517507,1571,2274.374554
0.348699,1693,2293.017474
0.296153,2052,2316.02149
-0.044531,828,2324.76264
0.69311,863,2334.65857
0.078437,773,2343.129894
-0.038674,894,2353.176141
0.217053,1508,2370.197885
0.215053,1453,2386.21162
0.075421,1371,2401.645391
0.207432,1015,2412.943262
0.580551,1305,2427.207219
0.067711,1452,2443.335835
0.35297,1989,2466.184271
0.335495,1148,2479.008814
0.344808,1421,2494.967132
0.309357,1703,2513.563421
0.624178,1342,2529.162301
0.227384,1379,2544.510073
0.358876,1594,2561.802312
0.382843,2032,2584.296656
0.343661,1269,2598.55894
0.121057,1305,2612.879102
0.189396,1586,2630.230506
0.099302,988,2641.533065
0.35394,1896,2662.955544
0.542399,1068,2674.425554
0.519446,1642,2692.759789
0.594168,1210,2705.809661
0.36494,1616,2723.962691
-0.152979,820,2733.775229
0.276863,1660,2751.342108
-0.123312,774,2760.769773
0.203564,1249,2774.112725
0.236783,1364,2789.566412
0.264488,1202,2802.716457
0.293153,2071,2826.603885
0.46435,2436,2853.80781
0.204692,1544,2871.240605
0.355737,2243,2895.827897
0.264098,1355,2911.224123
0.35797,1253,2925.375071
-0.168979,1207,2938.171709
0.522026,1162,2951.124314
0.07349,1238,2965.168098
0.293924,1508,2981.098013
0.171322,1121,2994.042814
0.608848,1212,3007.983826
0.308404,1887,3028.726074
0.026737,1167,3042.548907
0.575871,1387,3057.178848
0.504268,1599,3075.434563
0.34894,1555,3092.733527
0.06387,1289,3107.038562
-0.051531,1043,3118.402655
0.266598,1608,3136.720351
0.211053,1188,3149.853019
0.323308,1113,3162.57177
0.332098,1860,3183.106149
0.213297,1416,3199.626201
0.088302,1242,3214.171248
0.648562,972,3225.875777
-0.229288,760,3234.679651
0.582557,1252,3248.116014
0.367908,1294,3263.714815
0.308357,1516,3280.409474
0.17223,1359,3296.520706
0.244488,1459,3313.307134
-0.346,790,3323.84806
0.357843,2008,3347.341581
0.499568,1650,3367.446578
0.194883,1398,3384.355377
0.17823,1349,3401.118892
0.608593,1078,3413.490413
0.186515,1291,3429.041662
0.06387,1234,3444.374147
0.493711,1251,3459.628421
0.294206,1564,3478.220637
0.163883,1142,3491.996987
0.666636,898,3502.836125
0.684686,730,3510.901565
0.095023,860,3521.750679
0.1743,1264,3537.059595
0.245816,1282,3551.651176
0.266378,1290,3566.179015
0.089926,988,3577.700983
0.098368,1345,3592.450832
0.239876,2164,3616.827502
0.05332,953,3627.962656
0.226488,1201,3641.088664
0.127564,1434,3656.926814
0.472911,1803,3677.026037
0.119028,1322,3692.391764
0.516877,1409,3708.148608
0.194322,905,3718.415336
-0.166979,937,3728.645482
0.18523,1452,3744.869764
0.437404,1306,3760.482677
-0.079263,1195,3773.632644
-0.042345,871,3783.554236
0.484613,1520,3800.948073
0.330737,1505,3817.120873
0.355808,1550,3834.397148
0.027518,750,3842.836147
-0.151677,1119,3855.572821
0.08087,1158,3868.711388
-0.114489,594,3875.689814
0.335808,1933,3897.234256
0.027948,870,3907.236917
0.438204,2030,3929.982847
0.129564,1668,3948.548026
0.018402,1072,3960.193839
0.185866,1797,3980.055534
0.573204,1235,3993.963613
0.328538,1493,4010.071692
0.066305,1113,4022.629319
0.181322,1249,4036.651772
0.351661,1221,4049.893539
0.477994,1584,4068.102012
0.081302,1281,4082.581761
0.308667,1383,4097.385808
0.523528,1214,4112.098281
0.345538,1454,4128.3088
0.523595,1480,4145.45736
-0.015623,1387,4161.665227
0.19123,1233,4175.034482
-0.039345,1000,4186.564679
0.586696,1083,4199.508359
0.280734,1669,4218.347484
0.098538,804,4227.332446
0.474698,1604,4245.184968
0.499757,1331,4261.029082
0.636879,916,4271.360873
-0.339,664,4278.64682
0.150921,1103,4291.413805
0.344843,1487,4307.738596
0.700451,880,4317.696767
0.002058,1050,4330.114878
0.238984,1764,4349.224837
0.572113,1378,4364.903683
0.217277,1647,4383.289084
0.351876,1563,4400.559933
0.232783,1775,4420.61872
0.2663,1328,4435.42546
0.251153,1779,4455.635929
0.336737,1650,4474.271004
0.330661,1852,4495.420458
0.014225,992,4505.971641
